Unnamed: 0,5星,4星,3星,2星,1星,电影名称,推荐度
0,19.2,34.2,32.0,9.0,5.6,战狼2,推荐
1,42.9,39.5,14.9,2.0,0.7,哪吒之魔童降世,力荐
2,31.5,38.6,22.7,4.8,2.3,流浪地球,推荐
3,46.1,35.7,15.6,1.9,0.8,复仇者联盟4：终局之战 Avengers: Endgame,力荐
4,37.1,42.8,16.9,2.4,0.9,红海行动,力荐
5,8.1,32.8,45.0,11.0,3.1,唐人街探案2,还行
6,12.7,29.0,42.2,12.1,4.0,美人鱼,还行
7,22.0,46.6,27.4,3.2,0.9,我和我的祖国,推荐
8,20.6,45.8,28.0,4.0,1.5,八佰,推荐
9,57.6,34.8,6.9,0.5,0.2,我不是药神,力荐
10,9.5,31.8,44.8,11.6,2.2,中国机长,还行
11,15.7,41.7,34.6,6.4,1.7,我和我的家乡,推荐
12,13.3,36.6,40.7,7.7,1.7,速度与激情8 The Fate of the Furious,推荐
13,9.4,29.0,44.8,13.1,3.7,西虹市首富,还行
14,39.3,42.2,16.1,1.8,0.6,速度与激情7 Furious 7,力荐
15,33.1,44.1,19.7,2.4,0.8,复仇者联盟3：无限战争 Avengers: Infinity War,推荐
16,2.2,8.0,39.4,36.7,13.7,捉妖记2,还行
17,10.8,34.4,43.0,9.5,2.2,羞羞的铁拳,还行
18,8.0,26.9,45.2,15.8,4.1,疯狂的外星人,还行
19,21.1,43.0,30.5,4.5,0.9,海王 Aquaman,推荐
20,11.6,28.2,44.4,12.4,3.4,变形金刚4：绝迹重生 Transformers: Age of Extinction,还行
21,5.1,15.9,40.7,25.4,12.9,前任3：再见前任,还行
22,12.2,42.8,39.6,4.8,0.6,毒液：致命守护者 Venom,推荐
23,3.1,9.7,36.0,33.7,17.5,功夫瑜伽,还行
24,10.9,35.8,41.8,9.5,1.9,飞驰人生,还行
25,10.3,26.3,45.1,14.1,4.2,烈火英雄,还行
26,7.2,31.6,51.2,8.8,1.2,侏罗纪世界2 Jurassic World: Fallen Kingdom,还行
27,17.5,44.2,32.0,4.9,1.3,寻龙诀,推荐
28,6.6,16.5,37.0,25.8,14.1,西游伏妖篇,还行
29,5.3,15.3,45.5,25.3,8.5,港囧,还行
